narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_01_155,P01,P01_01,11:57.8,11:59.0,12:00.0,43141,43202,take cutting board with onion,take,0,board:cutting,18,"['board:cutting', 'onion']","[18, 16]"
P01_01_156,P01,P01_01,11:59.2,12:00.5,12:02.4,43227,43342,pouring onion,pour,9,onion,16,['onion'],[16]
P01_01_157,P01,P01_01,12:01.5,12:02.5,12:03.6,43347,43413,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18]
P01_01_158,P01,P01_01,12:02.5,12:03.7,12:11.5,43422,43888,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_159,P01,P01_01,12:19.4,12:10.4,12:30.1,43822,45004,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_16,P01,P01_01,00:46.9,00:47.7,00:48.8,2865,2925,close cupboard,close,4,cupboard,3,['cupboard'],[3]
P01_01_160,P01,P01_01,12:29.0,12:30.4,12:31.5,45023,45091,take salt,take,0,salt,38,['salt'],[38]
P01_01_161,P01,P01_01,12:30.0,12:31.6,12:33.1,45097,45189,open salt,open,3,salt,38,['salt'],[38]
P01_01_162,P01,P01_01,12:31.0,12:32.8,12:34.0,45165,45240,put down salt,put-down,1,salt,38,['salt'],[38]
P01_01_163,P01,P01_01,12:32.0,12:33.1,12:34.5,45185,45269,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_164,P01,P01_01,12:34.5,12:35.0,12:36.7,45297,45402,take spoon,take,0,spoon,1,['spoon'],[1]
P01_01_165,P01,P01_01,12:36.3,12:37.8,12:41.6,45468,45695,pour salt onto spoon,pour-onto,9,salt,38,"['salt', 'spoon']","[38, 1]"
P01_01_166,P01,P01_01,12:40.3,12:42.2,12:43.6,45729,45819,pour salt into water,pour-into,9,salt,38,"['salt', 'water']","[38, 27]"
P01_01_167,P01,P01_01,12:41.6,12:42.7,12:44.4,45763,45862,stir water,stir,10,water,27,['water'],[27]
P01_01_168,P01,P01_01,12:43.3,12:44.9,12:45.8,45894,45945,close salt,close,4,salt,38,['salt'],[38]
P01_01_169,P01,P01_01,12:44.5,12:46.1,12:46.8,45966,46006,put down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_01_17,P01,P01_01,00:50.4,00:51.7,00:53.0,3099,3180,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_170,P01,P01_01,12:46.1,12:47.5,12:49.4,46050,46164,put down salt,put-down,1,salt,38,['salt'],[38]
P01_01_171,P01,P01_01,12:48.1,12:49.5,12:50.3,46172,46216,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_172,P01,P01_01,12:51.7,12:50.3,12:51.3,46215,46279,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_173,P01,P01_01,12:50.7,12:51.4,12:52.7,46284,46359,adjust hob,adjust,17,hob,24,['hob'],[24]
P01_01_174,P01,P01_01,12:49.1,12:54.7,13:28.3,46483,48495,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_175,P01,P01_01,13:06.9,12:55.7,13:01.6,46540,46897,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_176,P01,P01_01,13:27.2,13:09.3,13:39.7,47359,49179,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_177,P01,P01_01,13:38.5,13:39.5,13:40.9,49172,49252,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_178,P01,P01_01,13:39.6,13:41.2,13:42.4,49273,49344,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_179,P01,P01_01,13:43.3,13:42.4,13:45.2,49344,49510,take something,take,0,cupboard,3,['cupboard'],[3]
P01_01_18,P01,P01_01,00:54.7,00:53.5,00:56.0,3210,3360,take knife,take,0,knife,4,['knife'],[4]
P01_01_180,P01,P01_01,13:44.3,13:44.3,13:45.8,49456,49546,put down something,put-down,1,knife,4,['knife'],[4]
P01_01_181,P01,P01_01,13:46.4,13:46.9,13:48.6,49614,49716,take rice,take,0,rice,55,['rice'],[55]
P01_01_182,P01,P01_01,13:51.1,13:49.2,13:55.3,49753,50118,open rice,open,3,rice,55,['rice'],[55]
P01_01_183,P01,P01_01,13:57.6,13:59.1,14:00.4,50348,50426,put down rice,put-down,1,rice,55,['rice'],[55]
P01_01_184,P01,P01_01,13:59.0,14:00.7,14:01.6,50442,50498,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_185,P01,P01_01,14:00.0,14:01.7,14:07.3,50504,50836,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_186,P01,P01_01,14:14.2,14:07.4,14:24.1,50842,51846,still stirring vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_187,P01,P01_01,14:22.4,14:24.3,14:25.3,51855,51918,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_188,P01,P01_01,14:24.1,14:26.0,14:27.3,51960,52036,take tofu,take,0,tofu,81,['tofu'],[81]
P01_01_189,P01,P01_01,14:28.2,14:29.6,14:31.0,52175,52261,take knife,take,0,knife,4,['knife'],[4]
P01_01_19,P01,P01_01,00:51.7,00:53.5,00:54.4,3213,3261,take knife,take,0,knife,4,['knife'],[4]
P01_01_190,P01,P01_01,14:31.8,14:30.9,14:35.1,52252,52506,cut tofu sleeve,cut,7,tofu,81,['tofu'],[81]
P01_01_191,P01,P01_01,14:35.7,14:35.5,14:45.1,52528,53104,open tofu container,open,3,container:tofu,21,['container:tofu'],[21]
P01_01_192,P01,P01_01,14:44.2,14:45.9,14:49.2,53155,53350,pour tofu onto pan,pour-onto,9,tofu,81,"['tofu', 'pan']","[81, 5]"
P01_01_193,P01,P01_01,14:45.3,14:49.5,14:50.9,53371,53455,put down tofu container,put-down,1,container:tofu,21,['container:tofu'],[21]
P01_01_194,P01,P01_01,14:49.5,14:50.9,15:04.3,53452,54256,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_195,P01,P01_01,15:02.7,15:04.2,15:05.2,54250,54310,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_196,P01,P01_01,15:06.3,15:05.3,15:08.2,54316,54491,take tofu container,take,0,container:tofu,21,['container:tofu'],[21]
P01_01_197,P01,P01_01,15:10.0,15:09.3,15:11.5,54559,54688,throw something into the bin,throw-into,13,bin,36,['bin'],[36]
P01_01_198,P01,P01_01,15:07.8,15:11.4,15:13.6,54685,54815,throw something into the bin,throw-into,13,bin,36,['bin'],[36]
P01_01_199,P01,P01_01,15:15.5,15:17.6,15:18.4,55056,55105,throw tupperware container into the bin,throw-into,13,container:tupperware,23,"['container:tupperware', 'bin']","[23, 36]"
P01_01_2,P01,P01_01,00:05.3,00:07.0,00:09.5,418,569,close door,close,4,door,3,['door'],[3]
P01_01_20,P01,P01_01,00:56.7,00:54.7,00:55.7,3283,3344,put down knife,put-down,1,knife,4,['knife'],[4]
P01_01_200,P01,P01_01,15:19.6,15:21.6,15:22.4,55298,55343,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_201,P01,P01_01,15:20.6,15:21.7,15:28.7,55299,55721,stir vegetables in tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_202,P01,P01_01,15:27.5,15:28.6,15:30.0,55717,55797,take rice,take,0,rice,55,['rice'],[55]
P01_01_203,P01,P01_01,15:37.0,15:31.8,15:37.6,55906,56256,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]"
P01_01_204,P01,P01_01,15:28.5,15:38.5,15:42.9,56307,56577,pour rice into water,pour-into,9,rice,55,"['rice', 'water']","[55, 27]"
P01_01_205,P01,P01_01,15:46.1,15:45.5,15:51.6,56727,57096,fold rice bag,fold,28,bag:rice,19,['bag:rice'],[19]
P01_01_206,P01,P01_01,15:49.3,15:51.7,15:53.0,57102,57182,close rice bag,close,4,bag:rice,19,['bag:rice'],[19]
P01_01_207,P01,P01_01,15:52.0,15:54.0,15:55.0,57237,57300,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_208,P01,P01_01,15:53.0,15:55.1,15:56.9,57303,57412,put rice into cupboard,put-into,5,rice,55,"['rice', 'cupboard']","[55, 3]"
P01_01_209,P01,P01_01,15:58.9,15:59.3,16:09.6,57556,58175,stir vegetables in tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_21,P01,P01_01,00:55.7,00:56.1,00:56.6,3366,3396,close drawer,close,4,drawer,8,['drawer'],[8]
P01_01_210,P01,P01_01,15:57.9,15:59.5,16:00.5,57569,57630,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_211,P01,P01_01,16:09.7,16:10.4,16:11.2,58225,58269,take bottle,take,0,bottle,15,['bottle'],[15]
P01_01_212,P01,P01_01,16:10.7,16:11.3,16:12.0,58275,58317,open top,open,3,top,42,['top'],[42]
P01_01_213,P01,P01_01,16:13.6,16:13.4,16:24.8,58404,59088,pour water into bottle,pour-into,9,water,27,"['water', 'bottle']","[27, 15]"
P01_01_214,P01,P01_01,16:23.0,16:23.6,16:25.7,59018,59140,close top,close,4,top,42,['top'],[42]
P01_01_215,P01,P01_01,16:24.7,16:26.4,16:28.2,59185,59289,put bottle onto table,put-onto,1,bottle,15,"['bottle', 'table']","[15, 42]"
P01_01_216,P01,P01_01,16:30.3,16:29.6,16:33.6,59376,59616,take cutlery,take,0,cutlery,58,['cutlery'],[58]
P01_01_217,P01,P01_01,16:33.2,16:34.5,16:37.1,59672,59824,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_218,P01,P01_01,16:36.4,16:37.2,16:47.9,59830,60475,put cutlery into cupboard,put-into,5,cutlery,58,"['cutlery', 'cupboard']","[58, 3]"
P01_01_219,P01,P01_01,16:45.9,16:47.7,16:49.5,60460,60567,close drawer,close,4,drawer,8,['drawer'],[8]
P01_01_22,P01,P01_01,00:53.7,00:57.4,00:58.7,3447,3522,put down knife,put-down,1,knife,4,['knife'],[4]
P01_01_220,P01,P01_01,16:48.4,16:49.9,16:50.9,60596,60653,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_221,P01,P01_01,16:50.0,16:50.9,16:58.0,60654,61082,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_222,P01,P01_01,16:56.7,16:58.2,17:00.2,61092,61212,adjust,adjust,17,hob,24,['hob'],[24]
P01_01_223,P01,P01_01,17:01.9,17:00.6,17:05.1,61233,61503,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_224,P01,P01_01,17:04.7,17:05.4,17:12.7,61524,61963,stir rice,stir,10,rice,55,['rice'],[55]
P01_01_225,P01,P01_01,17:12.1,17:13.6,17:14.6,62015,62073,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_226,P01,P01_01,17:14.7,17:15.0,17:17.6,62102,62257,take spoon,take,0,spoon,1,['spoon'],[1]
P01_01_227,P01,P01_01,17:16.3,17:17.0,17:21.4,62217,62485,take glass,take,0,glass,10,['glass'],[10]
P01_01_228,P01,P01_01,17:25.8,17:20.2,17:28.7,62413,62920,put down,put-down,1,glass,10,['glass'],[10]
P01_01_229,P01,P01_01,17:20.7,17:21.5,17:26.0,62491,62762,put down glass,put-down,1,glass,10,['glass'],[10]
P01_01_23,P01,P01_01,00:59.1,00:59.1,01:02.3,3543,3738,open tap,turn-on,6,tap,0,['tap'],[0]
P01_01_230,P01,P01_01,17:24.8,17:26.3,17:28.4,62778,62904,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_231,P01,P01_01,17:29.2,17:31.7,17:32.8,63100,63166,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_232,P01,P01_01,17:30.3,17:31.9,17:47.4,63112,64045,stir vegetables into a bowl,stir-into,10,vegetable,94,"['vegetable', 'bowl']","[94, 7]"
P01_01_233,P01,P01_01,17:44.7,17:46.5,17:47.6,63992,64055,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_234,P01,P01_01,17:52.8,17:54.2,17:56.3,64449,64576,take container,take,0,container,21,['container'],[21]
P01_01_235,P01,P01_01,17:53.8,17:55.4,17:56.7,64522,64602,open container,open,3,container,21,['container'],[21]
P01_01_236,P01,P01_01,17:56.2,17:57.1,17:58.8,64625,64729,take container out of container,take-out,12,container,21,"['container', 'container']","[21, 21]"
P01_01_237,P01,P01_01,17:57.6,17:59.0,18:03.6,64741,65014,close container,close,4,container,21,['container'],[21]
P01_01_238,P01,P01_01,18:00.2,18:03.7,18:04.5,65020,65073,put container back into cupboard,put,1,container,21,"['container', 'cupboard']","[21, 3]"
P01_01_239,P01,P01_01,18:04.4,18:06.4,18:07.9,65186,65277,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_24,P01,P01_01,01:00.1,01:01.9,01:05.2,3711,3913,wash courgette,wash,2,courgette,76,['courgette'],[76]
P01_01_240,P01,P01_01,18:05.9,18:07.5,18:12.3,65248,65539,stir rice,stir,10,rice,55,['rice'],[55]
P01_01_241,P01,P01_01,18:12.3,18:14.3,18:23.4,65655,66203,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_242,P01,P01_01,18:29.4,18:19.0,18:51.3,65941,67875,still stirring vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_243,P01,P01_01,18:50.1,18:51.9,18:53.8,67915,68025,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_244,P01,P01_01,19:22.5,19:23.1,19:32.0,69785,70318,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_245,P01,P01_01,19:31.6,19:32.2,19:38.4,70329,70704,stir rice,stir,10,rice,55,['rice'],[55]
P01_01_246,P01,P01_01,19:37.5,19:38.6,19:40.5,70714,70831,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_247,P01,P01_01,20:04.8,19:43.1,20:12.0,70985,72718,waiting for rice to be cooked,wait-for,72,rice,55,['rice'],[55]
P01_01_248,P01,P01_01,20:12.5,20:14.2,20:15.4,72849,72924,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_249,P01,P01_01,20:23.1,20:15.2,20:25.8,72911,73550,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_25,P01,P01_01,01:08.1,01:05.2,01:13.1,3912,4387,still washing courgette,wash,2,courgette,76,['courgette'],[76]
P01_01_250,P01,P01_01,20:13.5,20:15.3,20:25.7,72919,73543,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_251,P01,P01_01,20:24.2,20:25.6,20:26.6,73536,73596,take spoon,take,0,spoon,1,['spoon'],[1]
P01_01_252,P01,P01_01,20:28.6,20:27.7,20:30.7,73663,73840,scoop rice,scoop,16,rice,55,['rice'],[55]
P01_01_253,P01,P01_01,20:29.6,20:31.6,20:36.0,73894,74162,taste rice,taste,35,rice,55,['rice'],[55]
P01_01_254,P01,P01_01,20:36.3,20:36.1,20:38.9,74168,74335,put down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_01_255,P01,P01_01,20:46.3,20:47.9,20:49.8,74873,74985,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_256,P01,P01_01,20:50.0,20:51.0,20:53.0,75063,75179,take drainer,take,0,drainer,110,['drainer'],[110]
P01_01_257,P01,P01_01,21:02.1,21:04.0,21:05.3,75839,75921,take glass and bottle,take,0,glass,10,"['glass', 'bottle']","[10, 15]"
P01_01_258,P01,P01_01,21:03.1,21:05.0,21:10.4,75900,76222,pour water onto glass,pour-onto,9,water,27,"['water', 'glass']","[27, 10]"
P01_01_259,P01,P01_01,21:09.0,21:10.9,21:16.7,76255,76599,drink water,drink,60,water,27,['water'],[27]
P01_01_26,P01,P01_01,01:12.5,01:14.3,01:18.9,4457,4733,wash carrot,wash,2,carrot,41,['carrot'],[41]
P01_01_260,P01,P01_01,21:10.3,21:12.5,21:14.0,76353,76437,put down bottle,put-down,1,bottle,15,['bottle'],[15]
P01_01_261,P01,P01_01,21:15.6,21:16.1,21:17.6,76567,76656,put down glass,put-down,1,glass,10,['glass'],[10]
P01_01_262,P01,P01_01,21:18.9,21:20.7,21:21.5,76843,76892,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_263,P01,P01_01,21:19.9,21:21.7,21:32.7,76903,77562,stir vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_264,P01,P01_01,21:31.1,21:29.6,21:36.3,77373,77776,still stirring vegetables and tofu,stir,10,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
P01_01_265,P01,P01_01,21:32.5,21:36.0,21:37.0,77757,77818,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_266,P01,P01_01,21:42.6,21:44.5,21:45.5,78270,78327,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_267,P01,P01_01,21:44.8,21:46.3,21:52.2,78376,78730,stir rice,stir,10,rice,55,['rice'],[55]
P01_01_268,P01,P01_01,21:46.4,21:51.5,21:54.0,78688,78841,put down spatula,put-down,1,spatula,20,['spatula'],[20]
P01_01_269,P01,P01_01,22:00.4,21:55.9,21:58.9,78952,79135,waiting for rice,wait-for,72,rice,55,['rice'],[55]
P01_01_27,P01,P01_01,01:18.8,01:19.0,01:22.8,4739,4967,still washing carrot,wash,2,carrot,41,['carrot'],[41]
P01_01_270,P01,P01_01,22:22.3,22:20.4,22:33.5,80422,81210,still waiting for rice,wait-for,72,rice,55,['rice'],[55]
P01_01_271,P01,P01_01,22:32.2,22:33.7,22:35.5,81219,81328,take spoon,take,0,spoon,1,['spoon'],[1]
P01_01_272,P01,P01_01,22:34.2,22:35.2,22:39.8,81315,81587,scoop rice,scoop,16,rice,55,['rice'],[55]
P01_01_273,P01,P01_01,22:38.0,22:39.8,22:45.4,81586,81924,taste rice,taste,35,rice,55,['rice'],[55]
P01_01_274,P01,P01_01,22:45.8,22:46.0,22:49.6,81960,82176,put down spoon,put-down,1,spoon,1,['spoon'],[1]
P01_01_275,P01,P01_01,22:48.8,22:49.7,22:53.8,82183,82428,turn off hob,turn-off,8,hob,24,['hob'],[24]
P01_01_276,P01,P01_01,23:11.9,23:12.8,23:15.1,83567,83707,take saucepan,take,0,saucepan,5,['saucepan'],[5]
P01_01_277,P01,P01_01,23:16.0,23:16.6,23:21.3,83793,84077,drain saucepan,drain,37,saucepan,5,['saucepan'],[5]
P01_01_278,P01,P01_01,23:22.2,23:22.0,23:28.8,84118,84528,drain rice,drain,37,rice,55,['rice'],[55]
P01_01_279,P01,P01_01,23:28.0,23:29.7,23:33.1,84580,84786,pour rice onto pan,pour-onto,9,rice,55,"['rice', 'pan']","[55, 5]"
P01_01_28,P01,P01_01,01:20.5,01:22.2,01:23.2,4931,4991,close tap,turn-off,8,tap,0,['tap'],[0]
P01_01_280,P01,P01_01,23:31.9,23:33.0,23:34.0,84780,84840,put on drainer,put-on,1,drainer,110,['drainer'],[110]
P01_01_281,P01,P01_01,23:33.6,23:34.7,23:44.2,84882,85453,scoop rice,scoop,16,rice,55,['rice'],[55]
P01_01_282,P01,P01_01,23:43.0,23:44.2,23:46.0,85452,85558,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5]
